OBJECTID,PROV_CODE,PROV_NAMT,PROV_NAME
1,10,กรุงเทพมหานคร,BANGKOK
2,11,สมุทรปราการ,SAMUT PRAKAN
3,12,นนทบุรี,NONTHABURI
4,13,ปทุมธานี,PATHUM THANI
5,14,พระนครศรีอยุธยา,PHRA NAKHON SI AYUTTHAYA
6,15,อ่างทอง,ANG THONG
7,16,ลพบุรี,LOP BURI
8,17,สิงห์บุรี,SING BURI
9,18,ชัยนาท,CHAI NAT
10,19,สระบุรี,SARABURI
11,20,ชลบุรี,CHON BURI
12,21,ระยอง,RAYONG
13,22,จันทบุรี,CHANTHABURI
14,23,ตราด,TRAT
15,24,ฉะเชิงเทรา,CHACHOENGSAO
16,25,ปราจีนบุรี,PRACHIN BURI
17,26,นครนายก,NAKHON NAYOK
18,27,สระแก้ว,SA KAEO
19,30,นครราชสีมา,NAKHON RATCHASIMA
20,31,บุรีรัมย์,BURI RAM
21,32,สุรินทร์,SURIN
22,33,ศรีสะเกษ,SI SA KET
23,34,อุบลราชธานี,UBON RATCHATHANI
24,35,ยโสธร,YASOTHON
25,36,ชัยภูมิ,CHAIYAPHUM
26,37,อำนาจเจริญ,AMNAT CHAROEN
27,38,บึงกาฬ,BUENG KAN
28,39,หนองบัวลำภู,NONG BUA LAM PHU
29,40,ขอนแก่น,KHON KAEN
30,41,อุดรธานี,UDON THANI
31,42,เลย,LOEI
32,43,หนองคาย,NONG KHAI
33,44,มหาสารคาม,MAHA SARAKHAM
34,45,ร้อยเอ็ด,ROI ET
35,46,กาฬสินธุ์,KALASIN
36,47,สกลนคร,SAKON NAKHON
37,48,นครพนม,NAKHON PHANOM
38,49,มุกดาหาร,MUKDAHAN
39,50,เชียงใหม่,CHIANG MAI
40,51,ลำพูน,LAMPHUN
41,52,ลำปาง,LAMPANG
42,53,อุตรดิตถ์,UTTARADIT
43,54,แพร่,PHRAE
44,55,น่าน,NAN
45,56,พะเยา,PHAYAO
46,57,เชียงราย,CHIANG RAI
47,58,แม่ฮ่องสอน,MAE HONG SON
48,60,นครสวรรค์,NAKHON SAWAN
49,61,อุทัยธานี,UTHAI THANI
50,62,กำแพงเพชร,KAMPHAENG PHET
51,63,ตาก,TAK
52,64,สุโขทัย,SUKHOTHAI
53,65,พิษณุโลก,PHITSANULOK
54,66,พิจิตร,PHICHIT
55,67,เพชรบูรณ์,PHETCHABUN
56,70,ราชบุรี,RATCHABURI
57,71,กาญจนบุรี,KANCHANABURI
58,72,สุพรรณบุรี,SUPHAN BURI
59,73,นครปฐม,NAKHON PATHOM
60,74,สมุทรสาคร,SAMUT SAKHON
61,75,สมุทรสงคราม,SAMUT SONGKHRAM
62,76,เพชรบุรี,PHETCHABURI
63,77,ประจวบคีรีขันธ์,PRACHUAP KHIRI KHAN
64,80,นครศรีธรรมราช,NAKHON SI THAMMARAT
65,81,กระบี่,KRABI
66,82,พังงา,PHANGNGA
67,83,ภูเก็ต,PHUKET
68,84,สุราษฎร์ธานี,SURAT THANI
69,85,ระนอง,RANONG
70,86,ชุมพร,CHUMPHON
71,90,สงขลา,SONGKHLA
72,91,สตูล,SATUN
73,92,ตรัง,TRANG
74,93,พัทลุง,PHATTHALUNG
75,94,ปัตตานี,PATTANI
76,95,ยะลา,YALA
77,96,นราธิวาส,NARATHIWAT
